"","GSM7840464","GSM7840465","GSM7840466","GSM7840467","GSM7840468","GSM7840469","GSM7840470","GSM7840471","GSM7840472"
"ENSMUSG00000019935",639,2387,818,1010,380,611,339,786,1474
"ENSMUSG00000019936",0,0,0,0,0,0,0,0,0
"ENSMUSG00000100888",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070469",0,2,0,7,0,2,0,0,1
"ENSMUSG00000103779",1,1,1,1,1,0,0,1,1
"ENSMUSG00000064145",424,501,398,375,365,410,440,492,382
"ENSMUSG00000020346",393,402,406,428,356,387,194,306,293
"ENSMUSG00000070465",0,0,0,0,0,0,0,0,0
"ENSMUSG00000070464",0,0,0,0,0,0,0,0,0
"ENSMUSG00000064141",28,38,24,17,7,12,18,11,21
"ENSMUSG00000064140",0,0,0,0,0,0,0,0,0
"ENSMUSG00000103770",0,0,0,0,0,0,0,0,0
"ENSMUSG00000020340",26,22,32,14,15,15,10,24,13
"ENSMUSG00000053490",0,0,0,0,0,0,0,0,0
"ENSMUSG00000053499",0,0,0,0,0,0,0,0,0
"ENSMUSG00000107479",0,0,0,0,0,0,0,0,0
"ENSMUSG00000107478",2,1,7,0,5,0,0,0,1
"ENSMUSG00000107477",2,1,1,0,0,3,0,0,3
"ENSMUSG00000107476",25,41,49,37,44,47,77,45,28
"ENSMUSG00000107473",0,0,0,0,0,0,0,0,0
"ENSMUSG00000107472",0,0,0,0,0,0,0,0,0
"ENSMUSG00000054728",10,18,17,8,10,5,3,12,12
"ENSMUSG00000054723",144,170,116,115,108,164,110,232,170
"ENSMUSG00000054720",70,39,41,28,48,41,74,68,63
"ENSMUSG00000054727",0,0,0,0,0,0,0,0,0
"ENSMUSG00000079806",0,0,0,0,0,0,0,0,0
"ENSMUSG00000021583",964,950,1062,740,728,979,692,974,794
"ENSMUSG00000036744",0,0,0,0,0,0,0,0,0
"ENSMUSG00000036745",16,17,20,7,13,14,11,14,8
"ENSMUSG00000096201",0,0,0,0,0,0,0,0,0
"ENSMUSG00000036743",3,8,11,2,4,2,9,6,4
"ENSMUSG00000033510",0,0,0,0,0,0,0,0,0
"ENSMUSG00000036748",143,155,98,115,116,103,85,113,92
"ENSMUSG00000036749",0,0,0,0,0,0,0,0,0
"ENSMUSG00000096209",0,0,0,0,0,0,0,0,0
"ENSMUSG00000021587",0,0,0,0,0,0,0,0,0
"ENSMUSG00000102728",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062797",160,183,100,193,144,150,94,125,138
"ENSMUSG00000062794",2,4,2,0,0,0,1,3,0
"ENSMUSG00000062793",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062791",0,0,0,0,0,0,0,0,0
"ENSMUSG00000062421",126,164,137,123,128,106,113,138,104
"ENSMUSG00000062426",0,0,0,0,0,0,0,0,0
"ENSMUSG00000019066",50,70,104,63,34,53,61,87,60
"ENSMUSG00000035498",70,63,83,81,36,65,71,82,69
"ENSMUSG00000091462",4,7,4,4,32,3,48,5,4
"ENSMUSG00000101731",0,0,0,0,0,0,0,0,0
"ENSMUSG00000091460",2,2,2,1,0,2,1,1,0
"ENSMUSG00000101733",0,0,0,0,0,0,0,0,0
"ENSMUSG00000101734",0,0,0,0,0,0,0,0,0
"ENSMUSG00000101737",0,0,0,0,0,0,0,0,0
"ENSMUSG00000101738",0,0,0,0,0,0,0,0,0
"ENSMUSG00000101739",0,0,0,0,0,0,0,0,0
"ENSMUSG00000091468",0,0,0,0,0,0,0,0,0
"ENSMUSG00000055897",156,176,143,145,131,115,92,246,130
"ENSMUSG00000055895",0,0,0,0,0,0,0,0,0
"ENSMUSG00000108012",0,0,0,0,0,0,0,0,0
"ENSMUSG00000108010",0,0,0,0,0,0,0,0,0
"ENSMUSG00000108011",0,0,0,0,0,0,0,0,0
"ENSMUSG00000071738",0,0,0,0,0,0,0,0,0
"ENSMUSG00000108014",0,0,0,0,0,0,0,0,0
"ENSMUSG00000108015",0,0,0,0,0,0,0,0,0
"ENSMUSG00000060499",0,0,0,0,0,0,0,0,0
"ENSMUSG00000097154",2,7,3,1,4,0,3,2,0
"ENSMUSG00000097155",0,0,0,0,0,1,0,0,0
"ENSMUSG00000097156",0,0,0,0,0,0,0,0,0
"ENSMUSG00000097157",0,0,0,0,0,0,0,0,0
"ENSMUSG00000097150",2,7,0,4,3,4,2,7,4
"ENSMUSG00000097151",4,4,2,3,0,1,0,2,1
"ENSMUSG00000097152",3,3,5,1,5,1,5,6,2
"ENSMUSG00000097158",0,0,0,0,0,0,0,0,0
"ENSMUSG00000097159",0,0,0,0,0,0,0,0,0
"ENSMUSG00000031918",258,338,251,234,190,282,247,315,257
"ENSMUSG00000031919",0,0,0,0,0,0,0,0,0
"ENSMUSG00000031916",188,380,180,229,258,233,343,345,233
"ENSMUSG00000031917",143,196,109,109,108,104,121,127,116
"ENSMUSG00000031910",2,1,0,4,0,3,1,0,3
"ENSMUSG00000031913",216,380,214,280,232,245,257,351,190
"ENSMUSG00000049349",0,0,0,0,0,0,0,0,0
"ENSMUSG00000038637",69,100,55,90,73,64,47,114,83
"ENSMUSG00000038633",1012,1348,799,739,765,973,585,1116,371
"ENSMUSG00000038630",0,0,0,0,0,0,0,0,0
"ENSMUSG00000030359",81160,135642,68104,46464,48459,57981,119360,105170,82483
"ENSMUSG00000030357",2238,2817,1949,2855,1972,2302,1010,1605,2567
"ENSMUSG00000030351",0,0,0,0,0,0,1,0,0
"ENSMUSG00000030350",0,0,0,0,0,0,0,0,0
"ENSMUSG00000030353",7,7,1,5,1,5,3,0,6
"ENSMUSG00000030352",432,452,360,257,297,330,356,507,381
"ENSMUSG00000104818",0,0,0,0,0,0,0,0,0
"ENSMUSG00000104816",0,0,0,0,0,0,0,0,0
"ENSMUSG00000104814",11,8,18,27,14,19,13,22,9
"ENSMUSG00000104815",0,0,0,0,0,0,0,0,0
"ENSMUSG00000104811",0,0,0,0,0,0,0,0,0
"ENSMUSG00000073460",13,231,58,97,37,104,22,23,69
"ENSMUSG00000073468",171,247,153,191,206,180,139,170,198
"ENSMUSG00000049699",0,0,0,0,0,0,0,0,0
"ENSMUSG00000049694",0,0,0,0,0,0,0,0,0
"ENSMUSG00000049690",11,3,10,3,5,8,1,4,3
"ENSMUSG00000049691",0,0,0,0,0,0,0,0,0
"ENSMUSG00000049692",0,0,0,0,0,0,0,0,0
"ENSMUSG00000035329",118,129,97,115,88,115,102,120,105
"ENSMUSG00000035325",1389,2302,1275,1571,1358,1700,2021,2203,1240
"ENSMUSG00000070605",28,20,20,8,11,27,8,28,21
"ENSMUSG00000026950",341,74,240,235,173,187,147,143,90
"ENSMUSG00000075704",475,551,399,546,332,519,221,280,320
"ENSMUSG00000075707",0,4,2,0,0,0,1,0,2
"ENSMUSG00000075706",1086,2043,892,1395,767,1103,588,884,956
"ENSMUSG00000075701",639,802,450,477,451,484,630,543,559
"ENSMUSG00000023707",145,152,150,178,155,112,91,147,111
"ENSMUSG00000026956",40,112,57,48,14,34,33,45,31
"ENSMUSG00000075702",6,18,31,17,10,19,17,11,5
"ENSMUSG00000026958",299,345,204,244,234,193,166,220,205
"ENSMUSG00000026959",0,0,0,0,0,0,0,0,0
"ENSMUSG00000056812",3,27,9,8,2,18,20,15,10
"ENSMUSG00000043068",50,44,45,54,42,48,19,30,45
"ENSMUSG00000056815",0,0,0,0,0,0,0,0,0
"ENSMUSG00000043061",128,213,156,169,158,185,131,202,146
"ENSMUSG00000043060",0,0,0,0,0,0,0,0,0
"ENSMUSG00000043065",41,56,34,59,35,44,18,50,36
"ENSMUSG00000043067",852,1031,696,714,691,661,877,950,667
"ENSMUSG00000043066",0,0,0,0,0,0,0,0,0
"ENSMUSG00000022257",290,412,242,281,197,269,120,218,238
"ENSMUSG00000022255",521,624,472,436,323,474,288,543,473
"ENSMUSG00000029286",0,0,0,0,0,0,0,0,0
"ENSMUSG00000022253",2329,2540,2074,1900,1570,2184,996,1652,1906
"ENSMUSG00000029280",0,0,0,0,0,0,0,0,0
