"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0033700","phospholipid efflux","5/1628","15/25615",0.333333333333333,5.24467649467649,4.28398733803137,0.00180705471937113,0.016100581854702,0.016100581854702,"Apoe/Abcg1/Apoc2/Apoc1/Apoc3",5
"GO:0045916","negative regulation of complement activation","5/1628","15/25615",0.333333333333333,5.24467649467649,4.28398733803137,0.00180705471937113,0.016100581854702,0.016100581854702,"Susd4/Cr1l/Masp1/Clu/Serping1",5
"GO:0046073","dTMP metabolic process","5/1628","15/25615",0.333333333333333,5.24467649467649,4.28398733803137,0.00180705471937113,0.016100581854702,0.016100581854702,"Nme2/Upp2/Nme1/Shmt1/Nme3",5
"GO:0110095","cellular detoxification of aldehyde","5/1628","15/25615",0.333333333333333,5.24467649467649,4.28398733803137,0.00180705471937113,0.016100581854702,0.016100581854702,"Esd/Hagh/Akr1a1/Adh5/Park7",5
"GO:0034314","Arp2/3 complex-mediated actin nucleation","9/1628","45/25615",0.2,3.1468058968059,3.75501440778093,0.00182619697390613,0.0162156261423422,0.0162156261423422,"Arfip1/Arpc5l/Actr2/Iqgap2/Arpc3/Rnh1/Arpc5/Gmfb/Wasf2",9
"GO:0043506","regulation of JUN kinase activity","9/1628","45/25615",0.2,3.1468058968059,3.75501440778093,0.00182619697390613,0.0162156261423422,0.0162156261423422,"Map3k11/Map3k1/Pdcd4/Arhgef5/Fzd5/Axin1/Dnaja1/Fgd4/Tirap",9
"GO:1901568","fatty acid derivative metabolic process","12/1628","72/25615",0.166666666666667,2.62233824733825,3.59128307528753,0.00183006366021141,0.0162156261423422,0.0162156261423422,"Dld/Bckdhb/Acot7/Hmgcl/Aldh3a2/Acaa1b/Bckdha/Acaa1a/Dgat2/Fabp1/Gcdh/Pecr",12
"GO:1990928","response to amino acid starvation","12/1628","72/25615",0.166666666666667,2.62233824733825,3.59128307528753,0.00183006366021141,0.0162156261423422,0.0162156261423422,"Sar1b/Pex2/Sesn3/Atf4/Prkch/Pim1/Cul3/Kics2/Larp1/Kptn/Gpr155/Akt1",12
"GO:0030509","BMP signaling pathway","22/1628","176/25615",0.125,1.96675368550369,3.35274163736879,0.00185419238002008,0.0164067931807838,0.0164067931807838,"Hes1/Gata4/Smad1/Rbpms2/Hipk2/Hivep1/Pdcd4/Twsg1/Vsir/Numa1/Bmp2/Slc39a5/Bmp6/Cdh5/Abl1/Fst/Kcp/Megf8/Gpr155/Tcf7l2/Nfia/Kdr",22
"GO:0033559","unsaturated fatty acid metabolic process","21/1628","165/25615",0.127272727272727,2.00251284342193,3.36562681551302,0.0018595467906718,0.0164315386289899,0.0164315386289899,"Cyp2c29/Abcd2/Fads1/Acaa1b/Mgst3/Cyp2d26/Acaa1a/Tnfrsf1a/Cyp2c55/Pnpla8/Cyp2a4/Cyp2c50/Akr1c20/Fabp1/Avpr1a/Cyp2c54/Cyp2c40/Cyp2b10/Cyp2c69/Cyp1a2/Akr1c6",21
"GO:0010575","positive regulation of vascular endothelial growth factor production","7/1628","29/25615",0.241379310344828,3.79786918580022,3.92738196714453,0.00186828766486248,0.0164409314507899,0.0164409314507899,"Gata4/Atf4/Arnt/Flt4/C3/Stat3/Rela",7
"GO:0033617","mitochondrial respiratory chain complex IV assembly","7/1628","29/25615",0.241379310344828,3.79786918580022,3.92738196714453,0.00186828766486248,0.0164409314507899,0.0164409314507899,"Sco2/Cox14/Smim20/Pet117/Cox17/Taco1/Cox16",7
"GO:0097062","dendritic spine maintenance","7/1628","29/25615",0.241379310344828,3.79786918580022,3.92738196714453,0.00186828766486248,0.0164409314507899,0.0164409314507899,"Erbb4/Apoe/Fyn/Abl2/Vps35/Fcgr2b/Nedd9",7
"GO:0006513","protein monoubiquitination","11/1628","63/25615",0.174603174603175,2.7472114972115,3.61727260630448,0.00190517531067346,0.0167197352401179,0.0167197352401179,"Kbtbd8/Ube4b/Pex2/Rnf126/Nedd4l/Huwe1/Pdcd6/Fancl/Nedd4/Skp1/Cul3",11
"GO:0010761","fibroblast migration","11/1628","63/25615",0.174603174603175,2.7472114972115,3.61727260630448,0.00190517531067346,0.0167197352401179,0.0167197352401179,"Akap12/Arid5b/Mta2/Tgfb1/Lamtor2/Fer/Macir/Pip5k1a/Akt1/Plec/Mrtfa",11
"GO:0042274","ribosomal small subunit biogenesis","16/1628","112/25615",0.142857142857143,2.2477184977185,3.44752897435214,0.00191046141904295,0.0167398132014379,0.0167398132014379,"Wdr43/Imp3/Rps19/Nat10/Fsaf1/Bms1/Nol10/Mphosph10/Rcc1l/Mcat/Gtf2h5/Rps14/Fcf1/Utp4/Rrs1/Rcl1",16
"GO:0006623","protein targeting to vacuole","10/1628","54/25615",0.185185185185185,2.91370916370916,3.66742998548299,0.00191549012236639,0.0167398132014379,0.0167398132014379,"Sort1/Vps37b/Mon1b/Clu/Zfyve16/Nedd4/Lypla1/Ap3b1/Hdac6/Hspa8",10
"GO:0061383","trabecula morphogenesis","10/1628","54/25615",0.185185185185185,2.91370916370916,3.66742998548299,0.00191549012236639,0.0167398132014379,0.0167398132014379,"Rbp4/Nfatc1/Ube4b/Mmp2/Dll4/Chd7/Srf/Tek/Heg1/S1pr1",10
