"gene","score"
"Sde2",1.19594291775488
"Sec16a",1.19553509680295
"Gnl3l",1.19315006023792
"Smarcc2",1.19305489054897
"Dnase1l3",1.19288756181238
"Bcor",1.1912367095831
"Gak",1.19053580974458
"Apbb1ip",1.18826022667985
"Zfp385a",1.18749991627213
"Ltbr",1.18535220667632
"C2cd3",1.18519720949009
"Oxsr1",1.18398419287786
"Kat7",1.18309188834719
"Ilf3",1.18264512996297
"Pdzrn3",1.18221025688293
"Ofd1",1.18198237231216
"Sel1l",1.18198237231216
"Zc3h13",1.18012951647828
"Ifngr2",1.18012951647828
"Gcnt4",1.18012951647828
"Ddx24",1.18012951647828
"Vcl",1.18012951647828
"Akt2",1.17777216495123
"Itih2",1.17777156322978
"Fosl2",1.17756765356621
"Zmpste24",1.17504214499147
